iter	Logloss
0	0.6477113437
1	0.6131085938
2	0.5801097522
3	0.5547472614
4	0.5336307195
5	0.5138219693
6	0.4952608044
7	0.4797735685
8	0.4648558352
9	0.4518114616
10	0.4417070237
11	0.4313709813
12	0.4231305432
13	0.4166786656
14	0.408255554
15	0.4002115046
16	0.3946292723
17	0.3888632426
18	0.3845587271
19	0.3800174878
20	0.3761906403
21	0.3734267311
22	0.3707447519
23	0.3671989274
24	0.3646628718
25	0.3628082797
26	0.3604901818
27	0.3583288733
28	0.3561655541
29	0.353870961
30	0.3507940746
31	0.3483479886
32	0.3465857694
33	0.3454633437
34	0.3433928863
35	0.3421898134
36	0.3402800538
37	0.3385271392
38	0.337348932
39	0.3358337192
40	0.3348241343
41	0.3337633104
42	0.3325949206
43	0.3313738046
44	0.3303907254
45	0.3292123874
46	0.3286203303
47	0.3274326126
48	0.3261482717
49	0.3250989686
50	0.3245187994
51	0.3236717516
52	0.3226141002
53	0.3220913244
54	0.3214620056
55	0.3206896318
56	0.3199456347
57	0.3195353604
58	0.3191716739
59	0.318482952
60	0.3177645927
61	0.316842402
62	0.3163636369
63	0.315774508
64	0.3152156848
65	0.314606133
66	0.3140796801
67	0.3134851732
68	0.3128402445
69	0.3121100269
70	0.3118122658
71	0.3113072343
72	0.3109747909
73	0.3106329636
74	0.3101427088
75	0.3097543837
76	0.3095976748
77	0.3091441949
78	0.3088020471
79	0.3086209301
80	0.3080053576
81	0.3076380905
82	0.3070419693
83	0.3064471743
84	0.3061227894
85	0.3057967412
86	0.3054269883
87	0.3049125196
88	0.3045752228
89	0.3043099797
90	0.3040364412
91	0.3036722633
92	0.3033679522
93	0.3030086029
94	0.3027668693
95	0.3024539586
96	0.302067047
97	0.3018872868
98	0.3015867049
99	0.3013279068
100	0.3010870122
101	0.3007556408
102	0.3004323713
103	0.299962538
104	0.2997689401
105	0.2994294803
106	0.2991542331
107	0.2988761827
108	0.2985900277
109	0.2983786501
110	0.298185553
111	0.2980149325
112	0.297755362
113	0.2973634473
114	0.2971642518
115	0.2967960078
116	0.2967355147
117	0.2965462301
118	0.2963573285
119	0.2958101399
120	0.2953050969
121	0.295105554
122	0.2947872687
123	0.2945277193
124	0.2941236151
125	0.2937433713
126	0.2934219388
127	0.2932446923
128	0.293019623
129	0.2928162624
130	0.2926828574
131	0.2925107946
132	0.2923011061
133	0.2919199572
134	0.2915893327
135	0.2914290597
136	0.2911960039
137	0.2908304007
138	0.2906711104
139	0.2904574429
140	0.290238457
141	0.2900526749
142	0.2898703844
143	0.2896390561
144	0.2896156334
145	0.2893840728
146	0.2890835575
147	0.2888451208
148	0.2887013483
149	0.2883775075
150	0.2883716911
151	0.2880082396
152	0.2877973775
153	0.2876179656
154	0.2873984445
155	0.287142959
156	0.2868619245
157	0.2866109381
158	0.2863935991
159	0.2861582324
160	0.2860380496
161	0.2858021359
162	0.2854270478
163	0.28508865
164	0.2848667501
165	0.2845414941
166	0.2842341954
167	0.2840293122
168	0.2838826213
169	0.2836311916
170	0.2829565688
171	0.2826366871
172	0.2824157359
173	0.2821900441
174	0.2819521115
175	0.2818309146
176	0.2815486194
177	0.2812510871
178	0.2809018886
179	0.2804022484
180	0.2801887619
181	0.2799291138
182	0.2797354268
183	0.2794989166
184	0.2792497056
185	0.2790068251
186	0.27871846
187	0.2783715071
188	0.2779932445
189	0.2775744056
190	0.2773957081
191	0.277109817
192	0.2768561959
193	0.2765471752
194	0.2761466065
195	0.2757835915
196	0.2755005485
197	0.275327291
198	0.2750953218
199	0.2747902613
200	0.2744249101
201	0.2742456168
202	0.2739969584
203	0.273767786
204	0.2735315959
205	0.2732798544
206	0.273048854
207	0.2728048071
208	0.2726017394
209	0.2724398383
210	0.2722508952
211	0.2720007518
212	0.271827391
213	0.2715284078
214	0.2712738876
215	0.2710254504
216	0.2708397301
217	0.2706142366
218	0.2703807182
219	0.2701108211
220	0.2698544899
221	0.2696480672
222	0.269454738
223	0.2692443469
224	0.2689561919
225	0.2686098828
226	0.2684260134
227	0.2682406573
228	0.2680111412
229	0.2678163652
230	0.2676119169
231	0.267399841
232	0.2672284462
233	0.2670735774
234	0.2666594447
235	0.266510512
236	0.2662473416
237	0.266038075
238	0.2658768021
